Season;Csapat;Gy%;G;PTS /G;Opp. PTS /G;Pace;ORtg;DRtg;Net Rtg;Close made /G;Close att. /G;Close %;Mid. made /G;Mid. att. /G;Mid. %;2P made /G;2P att. /G;2P%;3P made /G;3P att. /G;3P%;FG made /G;FG att. /G;FG%;EFG%;FT made /G;FT att. /G;FT%;TS%;Close att. rate;Mid. att. rate;3P att. rate;FT rate;AST /G;AST%;TOV /G;TOV%;DRB /G;ORB /G;TRB /G;DRB%;ORB%;TRB%;STL /G;STL%;BLK /G;BLK%;PF /G;PFA /G
2425;Alba Fehérvár;42.9;35;90.9;91.1;74.6;120.6;120.9;-0.2;20.3;32.4;0.626;1.9;5.3;0.349;22.1;37.7;0.587;11.0;30.0;0.368;33.2;67.7;0.490;0.571;13.5;17.2;0.786;0.602;47.9;7.8;44.3;0.254;18.7;56.3;11.1;12.9;24.1;10.1;34.3;68.5;28.5;48.5;6.9;9.1;1.4;3.3;19.9;19.3
2425;Atomerőmű SE;78.9;38;90.0;78.9;73.7;121.3;106.3;15.0;20.6;33.0;0.625;3.0;6.8;0.438;23.6;39.8;0.593;8.7;26.1;0.331;32.3;65.9;0.489;0.555;16.8;21.7;0.775;0.594;50.0;10.4;39.6;0.329;17.2;53.4;11.9;13.6;27.5;11.9;39.5;74.7;34.0;54.8;7.3;9.9;2.1;5.4;20.7;20.3
2425;Bp. Honvéd;38.9;36;77.7;81.3;72.6;105.2;110.0;-4.8;15.2;27.3;0.556;2.3;6.0;0.387;17.5;33.3;0.525;9.6;28.9;0.332;27.1;62.2;0.435;0.513;14.0;19.1;0.730;0.549;43.9;9.7;46.4;0.308;16.9;62.3;13.5;16.0;26.9;9.5;36.4;72.9;25.8;49.4;6.1;8.2;1.9;5.4;23.4;20.1
2425;DEAC;58.8;34;77.6;76.7;71.7;107.4;106.2;1.1;17.9;32.9;0.542;2.5;5.8;0.429;20.3;38.7;0.525;8.2;25.4;0.323;28.5;64.1;0.445;0.509;12.4;16.4;0.757;0.543;51.4;9.0;39.6;0.255;17.0;59.8;11.6;13.9;26.4;9.7;36.0;72.2;26.3;49.1;7.6;10.6;1.4;3.7;18.6;17.6
2425;Falco KC;88.9;36;95.0;75.8;72.8;127.9;101.9;25.9;21.7;34.1;0.637;2.4;5.2;0.463;24.1;39.3;0.614;10.6;27.2;0.389;34.7;66.5;0.522;0.601;15.0;19.7;0.762;0.630;51.2;7.8;40.9;0.296;22.7;65.3;10.6;12.3;30.0;10.6;40.6;75.2;31.5;55.2;6.2;8.3;2.1;5.3;19.3;20.2
2425;Kecskemét;36.1;36;75.8;81.1;70.2;108.1;115.6;-7.5;14.0;23.3;0.601;3.5;8.6;0.408;17.6;32.0;0.549;9.6;28.2;0.340;27.1;60.2;0.451;0.531;12.0;17.7;0.676;0.556;38.8;14.4;46.9;0.295;16.5;60.9;11.6;14.6;23.4;8.1;31.5;73.1;23.0;46.9;5.1;7.3;1.6;4.4;21.7;19.1
2425;Körmend;47.1;34;86.2;90.1;75.1;113.5;118.6;-5.1;19.0;33.4;0.569;3.1;7.5;0.420;22.1;40.9;0.542;8.7;24.3;0.357;30.8;65.2;0.473;0.539;15.9;22.3;0.713;0.573;51.2;11.5;37.3;0.341;15.3;49.5;10.7;12.5;25.5;9.0;34.6;69.9;24.5;47.1;7.0;9.2;1.6;4.0;20.6;21.2
2425;NKA Pécs;55.6;36;80.1;79.4;73.5;108.2;107.3;0.9;20.3;35.2;0.576;1.9;5.9;0.324;22.2;41.1;0.540;6.5;22.3;0.293;28.8;63.4;0.454;0.505;16.0;22.2;0.723;0.546;55.6;9.3;35.1;0.350;16.8;58.6;12.8;14.8;27.5;11.1;38.6;73.8;30.2;52.2;6.8;9.2;2.4;6.4;21.1;21.1
2425;Oroszlány;30.6;36;77.8;85.0;73.4;105.3;115.1;-9.8;18.2;32.0;0.570;2.3;6.8;0.343;20.6;38.8;0.530;7.8;23.4;0.332;28.3;62.1;0.456;0.518;13.4;18.3;0.735;0.553;51.5;11.0;37.6;0.294;14.3;50.3;12.4;15.0;26.4;7.7;34.2;72.4;21.8;47.5;6.1;8.2;1.0;2.7;20.6;19.4
2425;PVSK;19.4;36;80.7;90.4;74.5;107.5;120.4;-12.9;18.6;33.8;0.549;2.1;5.8;0.370;20.7;39.6;0.523;7.3;23.3;0.315;28.0;62.9;0.446;0.504;17.3;22.6;0.767;0.552;53.8;9.2;37.1;0.359;15.0;53.6;11.8;13.9;24.8;8.5;33.3;67.4;23.3;45.4;5.8;7.7;1.6;3.8;20.3;21.0
2425;Sopron;47.2;36;83.8;81.9;73.7;112.2;109.7;2.5;20.6;35.1;0.587;2.9;7.0;0.410;23.5;42.1;0.558;7.5;22.9;0.328;31.0;65.0;0.477;0.535;14.2;20.0;0.709;0.566;54.0;10.7;35.2;0.308;16.7;53.9;12.8;14.7;25.9;10.7;36.6;73.3;29.9;51.4;7.5;10.1;2.2;5.7;22.1;20.1
