Dátum;Szezon;Szakasz;Csapat;Ellenfél;Hely;Kimen.;PTS;Opp. PTS;Net PTS;POSS;Pace;ORTG;DRTG;GmSc;Opp. GmSc;VAL;Opp. VAL;MIN;2P made;2P att.;2P%;3P made;3P att.;3P%;EFG%;FT made;FT att.;FT%;FT made rate;TS%;AST;AST%;TOV;TOV%;DRB;ORB;TRB;DRB%;ORB%;TRB%;STL;STL%;BLK;BLK%;PF;PFA;Opp. 2P made;Opp. 2P att.;Opp. 2P%;Opp. 3P made;Opp. 3P att.;Opp. 3P%;Opp. EFG%;Opp. FT made;Opp. FT att.;Opp. FT%;Opp. FT made rate;Opp. TS%;Opp. AST;Opp. AST%;Opp. TOV;Opp. TOV%;Opp. DRB;Opp. ORB;Opp. TRB;Opp. DRB%;Opp. ORB%;Opp. TRB%;Opp. STL;Opp. STL%;Opp. BLK;Opp. BLK%;Opp. PF;Opp. PFA
2022-09-30;2022-23;alapszakasz;Arconic-Alba Fehérvár;Atomerőmű SE;@;V;84;93;-9;89.0;79.1;94.4;104.5;53.9;70.9;105;131;45;27;53;0.509;8;24;0.333;0.506;6;6;1.000;0.078;0.527;16;45.7;16;16.7;28;5;33;65.1;12.8;40.2;8;8.3;5;8.8;22;17;32;57;0.561;6;24;0.250;0.506;11;16;0.688;0.136;0.527;18;47.4;17;16.2;34;15;49;87.2;34.9;59.8;7;7.6;5;13.2;17;22
2022-09-30;2022-23;alapszakasz;Atomerőmű SE;Arconic-Alba Fehérvár;;Gy;93;84;9;89.0;79.1;104.5;94.4;70.9;53.9;131;105;45;32;57;0.561;6;24;0.250;0.506;11;16;0.688;0.136;0.527;18;47.4;17;16.2;34;15;49;87.2;34.9;59.8;7;7.6;7;13.2;17;22;27;53;0.509;8;24;0.333;0.506;6;6;1.000;0.078;0.527;16;45.7;16;16.7;28;5;33;65.1;12.8;40.2;8;8.3;7;8.8;22;17
2022-09-30;2022-23;alapszakasz;Duna Aszfalt-DTKH Kecskemét;HÜBNER Nyíregyháza BS;;Gy;79;55;24;70.0;70.0;112.9;78.6;68.2;25.6;114;65;40;22;31;0.710;9;33;0.273;0.555;8;10;0.800;0.125;0.577;24;77.4;10;12.7;23;5;28;65.7;17.9;44.4;11;14.2;2;5.0;18;15;18;40;0.450;5;20;0.250;0.425;4;7;0.571;0.067;0.435;11;47.8;19;23.1;23;12;35;82.1;34.3;55.6;7;9.1;2;0.0;16;16
2022-09-30;2022-23;alapszakasz;HÜBNER Nyíregyháza BS;Duna Aszfalt-DTKH Kecskemét;@;V;55;79;-24;70.0;70.0;78.6;112.9;25.6;68.2;65;114;40;18;40;0.450;5;20;0.250;0.425;4;7;0.571;0.067;0.435;11;47.8;19;23.1;23;12;35;82.1;34.3;55.6;7;9.1;0;0.0;16;16;22;31;0.710;9;33;0.273;0.555;8;10;0.800;0.125;0.577;24;77.4;10;12.7;23;5;28;65.7;17.9;44.4;11;14.2;0;5.0;18;15
2022-10-01;2022-23;alapszakasz;Budapesti Honvéd SE;Falco-Vulcano Energia KC Szombathely;;V;61;78;-17;67.9;67.9;89.9;114.9;26.9;62.3;64;119;40;14;38;0.368;8;28;0.286;0.394;9;10;0.900;0.136;0.433;10;45.5;11;13.5;15;10;25;71.4;26.3;42.4;5;7.0;0;0.0;22;19;24;32;0.750;5;20;0.250;0.606;15;18;0.833;0.288;0.649;18;62.1;15;20.0;28;6;34;73.7;28.6;57.6;6;8.0;0;7.9;20;21
2022-10-01;2022-23;alapszakasz;DEAC;Sopron KC;@;V;62;90;-28;70.8;70.8;87.6;127.1;29.6;80.9;64;130;40;17;50;0.340;7;20;0.350;0.393;7;11;0.636;0.100;0.414;8;33.3;13;14.8;20;15;35;80.0;34.1;50.7;4;5.3;1;2.4;13;17;21;42;0.500;13;22;0.591;0.633;9;11;0.818;0.141;0.653;20;58.8;9;11.5;29;5;34;65.9;20.0;49.3;9;11.4;1;10.0;17;13
2022-10-01;2022-23;alapszakasz;Falco-Vulcano Energia KC Szombathely;Budapesti Honvéd SE;@;Gy;78;61;17;67.9;67.9;114.9;89.9;62.3;26.9;119;64;40;24;32;0.750;5;20;0.250;0.606;15;18;0.833;0.288;0.649;18;62.1;15;20.0;28;6;34;73.7;28.6;57.6;6;8.0;3;7.9;20;21;14;38;0.368;8;28;0.286;0.394;9;10;0.900;0.136;0.433;10;45.5;11;13.5;15;10;25;71.4;26.3;42.4;5;7.0;3;0.0;22;19
2022-10-01;2022-23;alapszakasz;Kometa Kaposvári KK;Szolnoki Olajbányász;;V;88;94;-6;68.3;68.3;128.9;137.6;61.3;79.0;109;127;40;21;35;0.600;12;25;0.480;0.650;10;13;0.769;0.167;0.668;18;54.5;14;17.5;16;7;23;55.2;29.2;43.4;1;1.3;4;10.5;22;19;21;38;0.553;11;24;0.458;0.605;19;23;0.826;0.306;0.650;19;59.4;9;11.1;17;13;30;70.8;44.8;56.6;6;7.8;4;2.9;20;20
2022-10-01;2022-23;alapszakasz;Egis Körmend;MVM-OSE Lions;@;V;98;104;-6;77.5;77.5;126.5;134.3;68.0;79.2;118;137;40;28;48;0.583;7;18;0.389;0.583;21;25;0.840;0.318;0.634;15;42.9;12;13.4;14;7;21;43.8;24.1;34.4;7;7.9;0;0.0;27;24;21;39;0.538;11;30;0.367;0.543;29;33;0.879;0.420;0.620;19;59.4;15;15.2;22;18;40;75.9;56.3;65.6;3;3.5;0;4.2;24;25
2022-10-01;2022-23;alapszakasz;MVM-OSE Lions;Egis Körmend;;Gy;104;98;6;77.5;77.5;134.3;126.5;79.2;68.0;137;118;40;21;39;0.538;11;30;0.367;0.543;29;33;0.879;0.420;0.620;19;59.4;15;15.2;22;18;40;75.9;56.3;65.6;3;3.5;2;4.2;24;25;28;48;0.583;7;18;0.389;0.583;21;25;0.840;0.318;0.634;15;42.9;12;13.4;14;7;21;43.8;24.1;34.4;7;7.9;2;0.0;27;24
