Játékos;Szezon;Csapat;Min%;On40;Net40;Net RTG;Net Pace;Net Tm PTS 40;Net Tm RTG;Net Tm Close att. rate;Net Tm 3P att. rate;Net Tm EFG %;Net Tm FT made rate;Net Tm ORB %;Net Tm AST %;Net Tm TOV %;Net Tm BLK %;Net Opp PTS 40;Net Opp RTG;Net Opp Close att. rate;Net Opp 3P att. rate;Net Opp EFG %;Net Opp FT made rate;Net Opp ORB %;Net Opp AST %;Net Opp TOV %;Net Opp BLK %
Desi WASHINGTON;2022-23;Szedeák;87.8;-2.0;-5.1;-7.4;4.3;9.7;7.1;0.000;0.009;0.072;-0.067;-7.6;-13.8;-1.6;0.6;14.8;14.5;-0.026;0.009;0.041;-0.032;3.6;-8.3;0.0;0.1
Đorđe DRENOVAC;2023-24;DEAC;86.3;-1.8;14.0;20.2;1.0;6.5;7.8;0.056;-0.066;0.055;-0.007;-3.7;-2.2;-1.0;2.3;-7.5;-12.4;0.007;0.016;-0.052;-0.005;-2.9;-0.7;0.0;-3.3
Daylen KOUNTZ;2024-25;Körmend;84.5;-4.4;-3.5;-4.5;4.0;10.9;8.9;0.036;-0.102;0.059;-0.030;-4.0;-12.8;-0.6;-0.4;14.4;13.4;0.049;-0.041;0.083;-0.116;6.4;3.9;-1.4;-0.3
VOJVODA Dávid;2024-25;Alba Fehérvár;83.2;-0.3;-1.0;-1.4;2.1;1.8;-0.9;0.037;-0.021;0.038;0.015;-8.4;0.0;2.5;0.8;2.9;0.5;0.019;-0.030;0.008;0.001;1.6;-1.3;-0.6;-2.7
Đorđe DŽELETOVIĆ;2024-25;PVSK;82.9;-8.5;6.7;8.4;-2.4;5.8;11.0;0.022;-0.029;0.013;-0.031;6.0;-0.2;-4.1;-1.1;-0.9;2.6;-0.062;0.061;-0.010;-0.007;5.1;12.1;0.1;2.3
EILINGSFELD János;2024-25;Atomerőmű SE;82.4;12.9;10.2;13.7;1.7;6.2;5.6;-0.003;-0.014;0.046;0.022;-1.2;-0.9;1.3;1.0;-4.0;-8.1;-0.009;-0.022;-0.023;-0.056;-6.0;1.1;-0.4;-1.7
Marques TOWNES;2022-23;Kecskemét;82.0;-4.3;-12.0;-17.7;10.4;5.0;-9.5;0.037;-0.042;-0.021;-0.011;1.6;-1.4;4.3;0.8;17.0;8.2;0.030;-0.018;0.063;-0.048;-0.8;-1.5;0.0;-0.4
Noah LOCKE;2023-24;Szedeák;81.9;-1.9;0.0;0.1;-0.2;0.3;0.7;0.003;-0.022;-0.036;-0.002;-3.1;-2.7;-2.8;-1.4;0.3;0.6;0.050;-0.055;0.037;0.006;-1.9;-0.7;0.0;-1.2
Siyani CHAMBERS;2023-24;Alba Fehérvár;81.2;13.1;16.6;22.0;7.0;21.9;18.5;0.010;-0.009;0.076;-0.002;6.0;2.4;-1.2;-3.6;5.3;-3.5;0.027;-0.032;-0.005;0.008;3.5;3.9;0.0;-1.2
DeAndre GHOLSTON;2023-24;Oroszlány;80.6;0.2;-3.6;-5.1;5.0;6.4;1.0;-0.039;0.030;0.005;-0.050;4.5;-6.4;2.2;1.8;10.0;6.1;-0.018;-0.008;0.040;0.036;-2.0;-0.7;0.0;1.7
Darius PERRY;2022-23;NYBS;80.3;-12.3;4.9;9.1;8.3;14.5;9.0;0.039;-0.013;0.000;0.041;-1.8;-3.1;-3.0;-2.1;9.6;-0.1;-0.029;0.000;0.042;-0.017;-1.7;2.6;0.0;0.5
Deon EDWIN;2022-23;Atomerőmű SE;80.2;0.3;-1.0;-1.3;6.5;4.9;-3.0;0.055;-0.069;-0.005;-0.026;2.6;-7.2;0.9;-1.6;5.9;-1.7;-0.017;0.011;0.014;-0.054;-7.1;4.7;0.0;-3.8
Andre WILLIAMSON;2023-24;DEAC;78.7;-2.9;3.6;5.1;1.2;0.0;-2.0;0.020;-0.008;0.037;0.013;-7.5;7.5;1.8;0.9;-3.6;-7.1;-0.051;0.025;-0.012;-0.041;-5.9;2.1;0.0;-1.4
Quincy FORD;2022-23;Alba Fehérvár;78.2;10.0;4.2;5.6;2.7;5.4;3.2;0.044;-0.031;0.021;-0.002;-3.0;-1.8;0.1;2.8;1.2;-2.4;0.011;-0.010;0.014;-0.053;2.9;4.0;0.0;0.9
Shannon BOGUES;2023-24;Kecskemét;77.8;-3.5;-6.9;-9.5;0.1;0.2;0.3;-0.011;-0.030;0.015;-0.023;2.2;-14.2;2.7;-2.2;7.1;9.8;0.019;0.005;0.043;-0.037;9.9;-0.5;0.0;1.1
Đorđe DRENOVAC;2024-25;DEAC;77.7;1.7;3.9;5.4;-0.7;4.7;7.6;0.091;-0.106;0.039;0.029;-2.4;-3.8;-1.3;1.8;0.8;2.2;0.036;-0.034;0.010;-0.066;-2.9;5.8;-2.9;-2.1
VOJVODA Dávid;2023-24;Alba Fehérvár;77.5;9.7;-1.2;-1.2;-1.7;-10.1;-10.4;-0.023;0.028;-0.035;0.017;-3.5;-2.7;2.6;0.4;-8.9;-9.2;0.017;-0.015;-0.048;0.052;-1.1;-1.6;0.0;0.6
