Játékos;Szezon;Csapat;G;Min;Min PG;GmSc;GmSc PG;GmSc 100;adj. GmSc;adj. GmSc PG;adj. GmSc 100;VAL;PER;USG%;% Team Poss;PTS Prod;Floor %;ORtg;DRtg;Net Rtg;OWS;DWS;WS;WS40;MVP Index;Gy;V;Gy%
Desi WASHINGTON;2022-23;Szedeák;35;1283;36.7;507;14.5;21.8;692;19.8;29.7;25.7;19.6;25.2;26.5;690;0.48;112;109;2.3;2.4;1.8;4.2;0.132;864;14;21;40.0
EILINGSFELD János;2024-25;Atomerőmű SE;38;1260;33.2;527;13.9;22.7;712;18.7;30.7;21.7;21.0;17.3;17.1;558;0.62;140;108;32.3;5.6;2.3;7.9;0.250;1283;30;8;78.9
Đorđe DRENOVAC;2023-24;DEAC;35;1226;35.0;406;11.6;18.7;554;15.8;25.6;18.9;16.2;24.6;23.2;548;0.51;109;111;-2.5;1.0;1.8;2.8;0.091;647;15;20;42.9
Marques TOWNES;2022-23;Kecskemét;36;1207;33.5;441;12.3;20.2;602;16.7;27.6;20.4;17.5;26.2;26.8;595;0.46;102;108;-6.7;0.0;1.9;1.9;0.062;585;18;18;50.0
Đorđe DŽELETOVIĆ;2024-25;PVSK;35;1203;34.4;453;13.0;20.3;613;17.5;27.4;22.1;18.0;23.2;22.2;568;0.52;114;120;-5.1;2.1;0.2;2.4;0.079;649;7;28;20.0
Siyani CHAMBERS;2023-24;Alba Fehérvár;36;1190;33.1;532;14.8;23.5;725;20.1;32.1;25.2;20.3;22.2;23.9;679;0.54;125;110;15.4;4.2;2.0;6.2;0.209;1127;28;8;77.8
Noah LOCKE;2023-24;Szedeák;33;1188;36.0;488;14.8;21.4;665;20.1;29.1;22.5;18.6;29.2;27.2;713;0.50;115;120;-5.3;2.5;0.3;2.8;0.093;718;14;19;42.4
Siyani CHAMBERS;2022-23;Körmend;36;1186;32.9;413;11.5;18.9;564;15.7;25.7;19.8;16.5;24.4;25.3;608;0.50;110;114;-4.2;1.7;0.9;2.6;0.089;668;21;15;58.3
Quincy FORD;2022-23;Alba Fehérvár;37;1179;31.9;436;11.8;20.2;595;16.1;27.6;19.8;19.2;15.9;15.9;428;0.55;125;103;22.2;3.1;2.8;5.9;0.199;1008;26;11;70.3
Darius PERRY;2022-23;NYBS;35;1178;33.7;513;14.7;23.1;700;20.0;31.5;25.2;20.5;32.1;31.7;740;0.47;105;112;-7.3;0.9;1.2;2.1;0.070;680;4;31;11.4
VOJVODA Dávid;2024-25;Alba Fehérvár;35;1177;33.6;493;14.1;22.5;666;19.0;30.4;22.2;19.6;24.5;24.1;646;0.54;122;123;-0.8;3.8;-0.4;3.5;0.118;785;15;20;42.9
Deon EDWIN;2022-23;Atomerőmű SE;35;1174;33.5;507;14.5;23.6;691;19.8;32.2;26.6;20.8;25.6;27.1;662;0.53;114;109;5.0;2.7;1.8;4.5;0.153;886;18;17;51.4
DeAndre GHOLSTON;2023-24;Oroszlány;35;1170;33.4;494;14.1;22.1;674;19.3;30.2;22.4;20.0;27.1;26.4;674;0.51;114;111;2.9;2.2;1.7;3.9;0.134;823;17;18;48.6
Daylen KOUNTZ;2024-25;Körmend;34;1162;34.2;536;15.8;24.5;724;21.3;33.2;24.4;22.2;27.2;26.2;676;0.54;118;118;0.0;3.3;0.4;3.7;0.126;842;16;18;47.1
Jordan BARNETT;2023-24;Alba Fehérvár;36;1124;31.2;511;14.2;23.9;696;19.3;32.6;22.3;22.0;18.6;17.9;520;0.59;136;109;27.9;4.5;2.1;6.6;0.235;1141;28;8;77.8
Shannon BOGUES;2023-24;Kecskemét;35;1121;32.0;449;12.8;22.2;613;17.5;30.2;21.2;19.9;24.2;23.7;564;0.54;117;115;2.4;2.5;1.1;3.6;0.127;747;14;21;40.0
Andre WILLIAMSON;2023-24;DEAC;35;1120;32.0;369;10.5;18.6;502;14.4;25.4;19.1;17.0;16.0;16.0;386;0.57;122;109;13.0;2.2;2.0;4.2;0.152;740;15;20;42.9
Danilo OSTOJIĆ;2022-23;ZTE;38;1117;29.4;387;10.2;18.8;528;13.9;25.6;20.0;17.6;20.5;20.9;494;0.56;115;111;3.4;2.1;1.3;3.4;0.122;720;21;17;55.3
VOJVODA Dávid;2023-24;Alba Fehérvár;36;1107;30.8;508;14.1;24.1;692;19.2;32.9;20.8;20.6;26.4;25.0;650;0.53;124;114;9.7;3.8;1.3;5.0;0.181;990;28;8;77.8
Shane GATLING;2024-25;Bp. Honvéd;36;1106;30.7;476;13.2;23.7;644;17.9;32.1;21.5;20.0;28.4;27.4;641;0.50;117;112;4.9;2.9;1.4;4.3;0.155;838;14;22;38.9
Đorđe DRENOVAC;2022-23;DEAC;32;1102;34.4;497;15.5;25.3;678;21.2;34.6;25.6;22.7;25.3;24.2;570;0.56;120;108;12.5;3.5;1.8;5.3;0.192;937;16;16;50.0
Yasiin JOSEPH;2022-23;Sopron;37;1100;29.7;506;13.7;25.7;690;18.6;35.1;23.1;22.7;26.4;27.3;645;0.53;120;110;9.8;3.9;1.4;5.3;0.193;948;18;19;48.6
