Játékos;Szezon;Csapat;G;Min;Min PG;AST;AST PG;AST 100;AST%;AST/ TOV;TOV;TOV PG;TOV 100;TOV%;DRB;ORB;TRB;DRB PG;ORB PG;TRB PG;DRB 100;ORB 100;TRB 100;DRB%;ORB%;TRB%;PFA;PFA PG;PFA 100;PF;PF PG;PF 100;Min / 5 PF;STL;STL PG;STL%;STL/ TOV;BLK;BPG PG;BLK 100;BLK%
Desi WASHINGTON;2022-23;Szedeák;35;1283;36.7;250;7.1;10.7;34.4;1.51;166;4.7;7.1;24.0;161;11;172;4.6;0.3;4.9;6.9;0.5;7.4;14.5;1.0;7.7;180;5.1;7.7;90;2.6;3.9;71.3;67;1.9;2.9;0.4;3;0.1;0.1;0.2
EILINGSFELD János;2024-25;Atomerőmű SE;38;1260;33.2;58;1.5;2.5;7.2;1.38;42;1.1;1.8;8.9;178;111;289;4.7;2.9;7.6;7.7;4.8;12.5;15.4;10.1;12.8;97;2.6;4.2;65;1.7;2.8;96.9;31;0.8;1.3;0.7;4;0.1;0.2;0.3
Đorđe DRENOVAC;2023-24;DEAC;35;1226;35.0;75;2.1;3.5;12.6;1.21;62;1.8;2.9;10.1;117;34;151;3.3;1.0;4.3;5.4;1.6;7.0;10.8;3.2;7.0;153;4.4;7.1;63;1.8;2.9;97.3;44;1.3;2.0;0.7;12;0.3;0.6;1.0
Marques TOWNES;2022-23;Kecskemét;36;1207;33.5;180;5.0;8.3;28.4;1.44;125;3.5;5.7;19.4;134;23;157;3.7;0.6;4.4;6.1;1.1;7.2;12.6;2.1;7.3;140;3.9;6.4;51;1.4;2.3;118.3;65;1.8;3.0;0.5;8;0.2;0.4;0.7
Đorđe DŽELETOVIĆ;2024-25;PVSK;35;1203;34.4;45;1.3;2.0;7.1;0.76;59;1.7;2.6;10.1;195;56;251;5.6;1.6;7.2;8.7;2.5;11.2;17.8;5.2;11.5;161;4.6;7.2;61;1.7;2.7;98.6;28;0.8;1.3;0.5;9;0.3;0.4;0.7
Siyani CHAMBERS;2023-24;Alba Fehérvár;36;1190;33.1;279;7.8;12.3;34.4;2.94;95;2.6;4.2;16.6;130;13;143;3.6;0.4;4.0;5.8;0.6;6.3;11.7;1.3;6.7;197;5.5;8.7;86;2.4;3.8;69.2;58;1.6;2.6;0.6;0;0.0;0.0;0.0
Noah LOCKE;2023-24;Szedeák;33;1188;36.0;93;2.8;4.1;12.9;1.31;71;2.2;3.1;9.1;95;28;123;2.9;0.8;3.7;4.2;1.2;5.4;8.6;2.5;5.5;171;5.2;7.5;57;1.7;2.5;104.2;35;1.1;1.5;0.5;1;0.0;0.0;0.1
Siyani CHAMBERS;2022-23;Körmend;36;1186;32.9;228;6.3;10.4;31.9;2.85;80;2.2;3.7;13.1;98;12;110;2.7;0.3;3.1;4.5;0.6;5.0;9.3;1.2;5.3;192;5.3;8.8;70;1.9;3.2;84.7;50;1.4;2.3;0.6;0;0.0;0.0;0.0
Quincy FORD;2022-23;Alba Fehérvár;37;1179;31.9;69;1.9;3.2;8.6;1.57;44;1.2;2.0;11.2;194;72;266;5.2;1.9;7.2;9.0;3.3;12.4;19.5;7.5;13.6;91;2.5;4.2;78;2.1;3.6;75.6;73;2.0;3.4;1.7;35;0.9;1.6;3.3
Darius PERRY;2022-23;NYBS;35;1178;33.7;159;4.5;7.2;29.3;1.20;132;3.8;5.9;16.1;135;21;156;3.9;0.6;4.5;6.1;1.0;7.0;13.8;1.9;7.4;231;6.6;10.4;105;3.0;4.7;56.1;80;2.3;3.6;0.6;5;0.1;0.2;0.4
VOJVODA Dávid;2024-25;Alba Fehérvár;35;1177;33.6;153;4.4;7.0;21.0;1.84;83;2.4;3.8;13.4;85;14;99;2.4;0.4;2.8;3.9;0.6;4.5;8.3;1.4;4.8;155;4.4;7.1;76;2.2;3.5;77.4;34;1.0;1.5;0.4;3;0.1;0.1;0.2
Deon EDWIN;2022-23;Atomerőmű SE;35;1174;33.5;224;6.4;10.4;34.6;1.74;129;3.7;6.0;20.2;170;53;223;4.9;1.5;6.4;7.9;2.5;10.4;15.9;5.2;10.7;209;6.0;9.7;91;2.6;4.2;64.5;38;1.1;1.8;0.3;12;0.3;0.6;1.1
DeAndre GHOLSTON;2023-24;Oroszlány;35;1170;33.4;100;2.9;4.5;15.1;1.03;97;2.8;4.3;14.0;138;34;172;3.9;1.0;4.9;6.2;1.5;7.7;12.7;3.4;8.2;146;4.2;6.5;77;2.2;3.4;76.0;55;1.6;2.5;0.6;5;0.1;0.2;0.4
Daylen KOUNTZ;2024-25;Körmend;34;1162;34.2;99;2.9;4.5;16.1;1.25;79;2.3;3.6;11.8;116;25;141;3.4;0.7;4.1;5.3;1.2;6.5;11.0;2.4;6.7;146;4.3;6.7;77;2.3;3.5;75.5;44;1.3;2.0;0.6;16;0.5;0.7;1.4
Jordan BARNETT;2023-24;Alba Fehérvár;36;1124;31.2;59;1.6;2.8;8.2;1.26;47;1.3;2.2;10.4;168;72;240;4.7;2.0;6.7;7.9;3.4;11.2;15.9;7.4;11.9;77;2.1;3.6;92;2.6;4.3;61.1;39;1.1;1.8;0.8;31;0.9;1.5;2.7
Shannon BOGUES;2023-24;Kecskemét;35;1121;32.0;84;2.4;4.1;13.6;1.42;59;1.7;2.9;10.5;106;27;133;3.0;0.8;3.8;5.2;1.3;6.6;11.3;2.6;6.7;180;5.1;8.9;71;2.0;3.5;78.9;54;1.5;2.7;0.9;3;0.1;0.2;0.3
Andre WILLIAMSON;2023-24;DEAC;35;1120;32.0;63;1.8;3.2;10.6;1.47;43;1.2;2.2;11.7;214;62;276;6.1;1.8;7.9;10.8;3.1;14.0;21.6;6.4;14.1;95;2.7;4.8;63;1.8;3.2;88.9;24;0.7;1.2;0.6;17;0.5;0.9;1.6
Danilo OSTOJIĆ;2022-23;ZTE;38;1117;29.4;69;1.8;3.4;10.6;0.95;73;1.9;3.5;15.1;181;84;265;4.8;2.2;7.0;8.8;4.1;12.9;19.1;8.6;13.8;190;5.0;9.2;103;2.7;5.0;54.2;34;0.9;1.6;0.5;11;0.3;0.5;1.0
VOJVODA Dávid;2023-24;Alba Fehérvár;36;1107;30.8;115;3.2;5.5;17.2;1.49;77;2.1;3.7;12.1;68;13;81;1.9;0.4;2.3;3.2;0.6;3.9;6.6;1.4;4.1;135;3.8;6.4;63;1.8;3.0;87.9;33;0.9;1.6;0.4;4;0.1;0.2;0.4
Shane GATLING;2024-25;Bp. Honvéd;36;1106;30.7;134;3.7;6.7;26.0;1.72;78;2.2;3.9;12.0;114;23;137;3.2;0.6;3.8;5.7;1.2;6.8;11.4;2.3;6.8;167;4.6;8.3;82;2.3;4.1;67.5;28;0.8;1.4;0.4;2;0.1;0.1;0.2
Đorđe DRENOVAC;2022-23;DEAC;32;1102;34.4;68;2.1;3.5;12.1;1.21;56;1.8;2.9;9.8;160;51;211;5.0;1.6;6.6;8.2;2.6;10.8;16.9;5.4;11.2;165;5.2;8.4;56;1.8;2.9;98.4;49;1.5;2.5;0.9;6;0.2;0.3;0.6
Yasiin JOSEPH;2022-23;Sopron;37;1100;29.7;210;5.7;10.7;33.4;2.50;84;2.3;4.3;14.2;121;24;145;3.3;0.6;3.9;6.2;1.2;7.4;11.2;2.6;7.2;190;5.1;9.7;78;2.1;4.0;70.5;48;1.3;2.4;0.6;3;0.1;0.2;0.3
D'Mitrik TRICE;2022-23;ZTE;38;1100;28.9;162;4.3;8.0;25.7;2.22;73;1.9;3.6;12.6;69;15;84;1.8;0.4;2.2;3.4;0.7;4.1;7.4;1.6;4.4;132;3.5;6.5;63;1.7;3.1;87.3;24;0.6;1.2;0.3;1;0.0;0.1;0.1
Eric LOCKETT;2024-25;Atomerőmű SE;36;1096;30.5;120;3.3;6.0;17.7;1.85;65;1.8;3.2;13.1;150;50;200;4.2;1.4;5.6;7.4;2.5;9.9;15.0;5.2;10.2;111;3.1;5.5;96;2.7;4.8;57.1;49;1.4;2.4;0.8;10;0.3;0.5;1.0
BOGNÁR Kristóf;2023-24;Szedeák;36;1093;30.4;76;2.1;3.6;10.2;1.41;54;1.5;2.6;11.4;192;100;292;5.3;2.8;8.1;9.1;4.8;13.9;18.6;9.7;14.2;124;3.4;5.9;100;2.8;4.8;54.7;48;1.3;2.3;0.9;30;0.8;1.4;2.5
Sage TOLBERT;2023-24;Körmend;32;1092;34.1;38;1.2;1.9;6.2;0.79;48;1.5;2.4;10.9;166;92;258;5.2;2.9;8.1;8.2;4.5;12.7;17.6;9.7;13.6;104;3.3;5.1;77;2.4;3.8;70.9;43;1.3;2.1;0.9;17;0.5;0.8;1.5
Amorie ARCHIBALD;2024-25;PVSK;30;1088;36.3;170;5.7;8.4;30.6;2.27;75;2.5;3.7;12.1;171;37;208;5.7;1.2;6.9;8.5;1.8;10.3;16.9;3.8;10.4;213;7.1;10.5;83;2.8;4.1;65.5;58;1.9;2.9;0.8;8;0.3;0.4;0.7
Deon EDWIN;2023-24;DEAC;35;1079;30.8;185;5.3;9.7;33.8;1.59;116;3.3;6.1;22.2;127;57;184;3.6;1.6;5.3;6.7;3.0;9.7;13.3;6.1;9.7;190;5.4;10.0;111;3.2;5.8;48.6;42;1.2;2.2;0.4;13;0.4;0.7;1.3
Cortez EDWARDS;2024-25;Sopron;36;1078;29.9;163;4.5;8.2;23.5;2.09;78;2.2;3.9;17.8;117;42;159;3.3;1.2;4.4;5.9;2.1;8.0;12.5;4.4;8.4;108;3.0;5.4;68;1.9;3.4;79.2;65;1.8;3.3;0.8;15;0.4;0.8;1.5
Isaiah BIGELOW;2024-25;ZTE;37;1076;29.1;51;1.4;2.6;8.8;0.84;61;1.6;3.1;10.2;197;52;249;5.3;1.4;6.7;9.9;2.6;12.6;21.4;5.3;13.1;138;3.7;7.0;106;2.9;5.3;50.8;38;1.0;1.9;0.6;9;0.2;0.5;1.0
Michael HUGHES;2022-23;Kaposvár;36;1070;29.7;83;2.3;4.2;14.1;1.04;80;2.2;4.1;15.7;239;66;305;6.6;1.8;8.5;12.2;3.4;15.5;25.3;7.3;16.5;205;5.7;10.4;117;3.3;6.0;45.7;47;1.3;2.4;0.6;67;1.9;3.4;6.2
Tony HICKS;2023-24;ZTE;35;1070;30.6;186;5.3;9.4;31.7;2.04;91;2.6;4.6;15.4;156;13;169;4.5;0.4;4.8;7.9;0.7;8.6;16.5;1.4;8.9;139;4.0;7.0;92;2.6;4.7;58.2;44;1.3;2.2;0.5;0;0.0;0.0;0.0
Isaiah PHILMORE;2022-23;Alba Fehérvár;37;1068;28.9;62;1.7;3.2;9.1;1.09;57;1.5;2.9;14.2;128;54;182;3.5;1.5;4.9;6.6;2.8;9.3;14.2;6.2;10.3;99;2.7;5.1;97;2.6;5.0;55.1;23;0.6;1.2;0.4;7;0.2;0.4;0.7
