Játékos;Poszt;Státusz;Szül. év.;Mag.;Töm.;Csapat
Rašid ABELJANOV;C;Légiós;1954;205;105;Szolnoki Olajbányász
Remy ABELL;SG;Légiós;1992;193;96;Kaposvári KK, NKA Pécs, Oroszlány
ÁBRAHÁM Balázs;PF;Hazai;1977;201;95;Sopron KC
ÁBRAHÁM István;FC;Hazai;1948;198;87;MAFC
ÁCS István;PG;Hazai;1958;188;84;Dombóvár, Kaposvári Honvéd Táncsics
ÁCS László;C;Hazai;1960;204;100;Kaposvári Honvéd Táncsics, Vasas
ÁCS Péter;GF;Hazai;1980;198;91;ZTE KK
ACSAY Attila;F;Hazai;1944;195;93;Szolnoki Olajbányász
ÁDÁM Béla;G;Hazai;1973;184;79;Debreceni KK, Nyíregyháza, Szolnoki Olajbányász
Ben ADAMS;G;Légiós;1979;185;84;Dombóvár, Kecskemét
Eric ADAMS;PF;Légiós;1995;201;100;Körmend
Andrew ADDERLY;SG;Légiós;1970;190;93;Budapesti Honvéd, Szolnoki Olajbányász
ADEGBITE Dennis;FC;Hazai;1997;201;92;TF-Budapest
ADORJÁN Gusztáv;SG;Hazai;1984;190;;Nyíregyháza
Goran ADŽIĆ;C;Légiós;1973;208;102;Sopron KC
Andrij AGAFONOV;C;Légiós;1986;208;114;ZTE KK
ÁGFALVI György;GF;Hazai;1953;190;90;Bajai SK
ÁGFALVI Mihály;SG;Hazai;1976;188;80;Kaposvári KK, Pécsi VSK
ÁGH Péter;PG;Hazai;1969;185;;Bajai SK, Nagykőrös, ZTE KK
Kwadzo AHELEGBE;PG;Légiós;1988;188;91;Kaposvári KK
Esa AHMAD;FC;Légiós;1996;203;104;Alba Fehérvár
Bashir AHMED;SF;Légiós;1993;201;95;ZTE KK
Mirza AHMETBAŠIĆ;SG;Légiós;1987;193;91;Jászberény
C.J. AIKEN;FC;Légiós;1990;206;91;Pécsi VSK
Fardaws AIMAQ;C;Légiós;1999;211;116;Szolnoki Olajbányász
Jaylin AIRINGTON;G;Légiós;1993;193;86;Szolnoki Olajbányász
Nemanja ALEKSANDROV;FC;Légiós;1987;211;105;Jászberény
Dragan ALEKSIĆ;G;Légiós;1970;196;90;Pécsi VSK, Szolnoki Olajbányász
Petar ALEKSIĆ;SF;Légiós;1968;195;90;ZTE KK
Lawrence ALEXANDER;G;Légiós;1991;191;86;Kecskemét
Antonio ALEXE;SG;Légiós;1969;194;97;Falco KC Szombathely, Sopron KC, Szolnoki Olajbányász
Mikalaj ALIAKSZEJEV;C;Légiós;1978;210;115;Falco KC Szombathely, Körmend
Fahro ALIHODŽIĆ;C;Légiós;1989;208;109;Kaposvári KK
Jeff ALLEN;FC;Légiós;1987;201;104;Kaposvári KK
Seth ALLEN;SG;Légiós;1994;185;88;Atomerőmű SE
Terry ALLEN;PF;Légiós;1993;203;109;Körmend
Anthony ALLISON;SF;Légiós;1973;198;;Kaposvári KK
ALMÁDI Miklós;G;Hazai;1964;182;;Szegedi EOL
Justin ALSTON;FC;Légiós;1994;203;104;Szedeák
AMBRUS Róbert;C;Hazai;1973;208;;Hódmezővásárhely
AMBRUSZ Ákos;F;Hazai;1987;198;79;Debreceni KK, Nyíregyháza
Rahsaan AMES;PG;Légiós;1978;183;86;Pécsi VSK
Daniel AMIGO;C;Légiós;1995;208;111;Debreceni EAC
ANDA Dávid;C;Hazai;1998;214;125;Nyíregyháza, Oroszlány, Szedeák, Szolnoki Olajbányász
C.J. ANDERSON;G;Légiós;1996;198;94;Oroszlány
Darrell ANDERSON;FC;Légiós;1970;204;110;Debreceni KK, Falco KC Szombathely, ZTE KK
James ANDERSON;C;Légiós;1968;203;113;Sopron KC
Kyan ANDERSON;PG;Légiós;1992;180;79;Debreceni EAC, Falco KC Szombathely
Rashad ANDERSON;GF;Légiós;1983;196;102;MAFC
ANDORKA Zoltán;G;Hazai;1954;183;76;Veszprém
ANDRÁSSY Géza;PF;Hazai;1996;202;102;Vasas
Lukša ANDRIĆ;C;Légiós;1985;208;118;Szolnoki Olajbányász
Martynas ANDRIUKAITIS;FC;Légiós;1981;203;106;Debreceni KK
ANGYAL Medárd;FC;Hazai;2006;202;98;NKA Pécs
ANTAL András;F;Hazai;1968;198;;Szegedi EOL
ANTAL Gábor;PF;Hazai;1979;201;88;Kaposvári KK, ZTE KK
ANTAL Szabolcs;F;Hazai;1989;201;94;Alba Fehérvár, Jászberény
ANTALICS Dániel;C;Hazai;2005;205;103;Kaposvári KK, NKA Pécs
ANTALICS János;PF;Hazai;1976;198;;Kaposvári KK
Zoran ANTIĆ;SG;Légiós;1975;195;;Alba Fehérvár
ANTONI Csanád;SF;Hazai;1996;193;97;Atomerőmű SE, Pécsi VSK, ZTE KK
ANTONI József;G;Hazai;1963;186;78;Atomerőmű SE, Bajai SK
Vladimir ANZULOVIĆ;PG;Légiós;1978;185;83;Debreceni KK, Szolnoki Olajbányász
Brad APPLE;SG;Légiós;1972;193;;Falco KC Szombathely
ARABO Abraham;C;Hazai;2003;208;100;Szolnoki Olajbányász
ARADSZKY András, Dr.;FC;Hazai;1956;196;95;Kecskemét, Szegedi EOL
Dwayne ARCHBOLD;GF;Légiós;1980;198;93;Kaposvári KK
Amorie ARCHIBALD;G;Légiós;1999;193;85;Pécsi VSK, Sopron KC
Tezale ARCHIE;PG;Légiós;1977;185;75;Kecskemét, Körmend
Sebastian ÅRIS;PG;Légiós;1995;191;90;Kaposvári KK
ARMAGHANI Ármin;SF;Hazai;2000;194;73;Pécsi VSK
Saeed ARMAGHANI;G;Légiós;1962;188;83;MAFC
Chip ARMELIN;G;Légiós;1990;193;93;Szedeák
Isaiah ARMWOOD;PF;Légiós;1990;206;97;Debreceni EAC
ARNOLD Botond;C;Hazai;2003;206;105;Atomerőmű SE
Brent ARRINGTON;G;Légiós;1992;191;86;Jászberény
ÁRVA-FILE Balázs;SF;Hazai;2005;199;88;Oroszlány
ÁRVAVÖLGYI Tibor;;Hazai;;;;Sopron KC
ÁRVAY Zoltán;SF;Hazai;1958;194;82;Alba Fehérvár, Videoton
Brian ASBURY;PF;Légiós;1986;201;100;Szedeák
Ivan ASKA;PF;Légiós;1990;204;105;Debreceni EAC
ASSZÚ Ádám;G;Hazai;1999;187;80;Debreceni EAC
ASZTALOS Miklós;F;Hazai;2008;204;101;Kecskemét
Paul ATKINSON;FC;Légiós;1999;206;104;Atomerőmű SE
Manix AURIANTAL;G;Légiós;1980;188;;Körmend
Kyle AUSTIN;F;Légiós;1988;203;105;Jászberény, Körmend
Lamb AUTREY;G;Légiós;1989;193;90;Sopron KC
Marchelus AVERY;F;Légiós;2000;201;97;Falco KC Szombathely, Körmend
Dan-Ioan BABUT;FC;Légiós;1983;203;101;Hódmezővásárhely
Zoran BACALJA;PF;Légiós;1972;202;;Videoton
Gintaras BAČANSKAS;GF;Légiós;1967;198;98;Sopron KC
Vasilije BAĆOVIĆ;C;Légiós;1996;208;103;NKA Pécs
BÁCS Zalán;C;Hazai;1968;204;100;MAFC
BACSA Péter;SF;Hazai;1979;200;85;Alba Fehérvár, Budapesti Honvéd, Csepel, Debreceni KK, Körmend
BÁDER Márton;FC;Hazai;1980;211;102;Alba Fehérvár, Budapesti Honvéd, Szolnoki Olajbányász
Roko BADŽIM;SG;Légiós;1997;194;86;Szolnoki Olajbányász
BAGÓ Martin;C;Hazai;1996;208;110;Atomerőmű SE, Falco KC Szombathely, Sopron KC, ZTE KK
Adrio BAILEY;PF;Légiós;1997;198;98;Oroszlány
Brendan BAILEY;SF;Légiós;1997;203;90;Szedeák
Darko BAJO;FC;Légiós;1999;206;105;Budapesti Honvéd
Adnan BAJRAMOVIĆ;C;Légiós;1980;210;118;Egri Fekete Sasok, Salgótarjáni KSE
D'Juan BAKER;G;Légiós;1976;190;;Budapesti Honvéd
Ian BAKER;PG;Légiós;1993;183;82;Atomerőmű SE, Jászberény
BAKI Gergely;SF;Hazai;1987;195;95;Atomerőmű SE, Kaposvári KK, ZTE KK
BAKK Attila;C;Hazai;1973;203;;Sopron KC
BAKK Krisztián;F;Hazai;1994;200;90;Falco KC Szombathely, Sopron KC
BAKONYI Péter;GF;Hazai;1973;196;88;Falco KC Szombathely, MAFC, Matáv Pécs, Sopron KC
Darko BALABAN;C;Légiós;1989;211;105;Szedeák
BALATON Dávid;G;Hazai;1990;188;83;NTE Hegyvidék, Salgótarjáni KSE
Jure BALAŽIĆ;PF;Légiós;1980;203;102;Atomerőmű SE
BALÁZSI Ákos;SG;Hazai;2005;193;73;Debreceni EAC
BALÁZSI Soma;SF;Hazai;2001;194;88;Debreceni EAC
BALIKÓ Attila;C;Hazai;1988;205;112;MAFC, Salgótarjáni KSE
Stefan BALMAZOVIĆ;PF;Légiós;1989;202;98;Falco KC Szombathely, Szedeák, ZTE KK
BALOG György;GF;Hazai;1973;192;97;Százhalombatta
BALOGH András;GF;Hazai;1990;195;85;Debreceni Egyetem, Factum Sport Debrecen
BALOGH Csaba;SG;Hazai;1973;190;71;Kaposvári KK
BALOGH Gergely;SF;Hazai;1981;190;90;Sopron KC
BALOGH Gyula;SG;Hazai;1982;193;;Szolnoki Olajbányász
BALOGH István;F;Hazai;1957;195;85;Volán SC
BALOGH János;G;Hazai;2002;188;80;Szolnoki Olajbányász
BALOGH László;SG;Hazai;1977;192;92;Dombóvár
BALOGH Máté;FC;Hazai;2001;203;104;Alba Fehérvár, Budapesti Honvéd, Körmend
BALOGH Sándor;FC;Hazai;1949;198;92;Sopron KC
BALOGH Szilárd;G;Hazai;2001;185;79;Szedeák
BALOGH Tamás;PG;Hazai;1978;188;;Nagykőrös
BALOGH Tibor;PG;Hazai;1962;178;70;Csepel
BALOGH Zoltán;PG;Hazai;1975;178;75;Debreceni KK, Dombóvár, MAFC, Pécsi VSK, Szedeák, Szolnoki Olajbányász
BALOGH Zoltán;PG;Hazai;1972;186;;ZTE KK
BALSAY Ádám;SG;Hazai;2001;196;80;Alba Fehérvár, Oroszlány
BÁN Gábor;G;Hazai;1971;186;;Pécsi VSK
BÁN Tibor;G;Hazai;1995;185;82;Körmend, Sopron KC, Szedeák
BÁNÁTI János;;Hazai;1978;;;Bajai Honvéd
George BANKS;PF;Légiós;1972;202;105;Alba Fehérvár, Körmend
BÁNOS Csaba;C;Hazai;1993;202;125;Jászberény
BÁNSÁGI Attila;G;Hazai;1969;188;88;Százhalombatta
BÁNYAI Viktor;G;Hazai;1978;184;72;Hódmezővásárhely
Nick BANYARD;FC;Légiós;1994;203;102;Sopron KC
Boris BARAĆ;FC;Légiós;1992;206;105;Falco KC Szombathely
BARÁTH László;F;Hazai;1982;194;97;Debreceni KK
Drew BARHAM;GF;Légiós;1989;198;88;Falco KC Szombathely
Riley BARKER;C;Légiós;1992;208;113;Jászberény
Eddy BARLOW;PG;Légiós;1981;183;73;Salgótarjáni KSE
BARNA Donát;GF;Hazai;1975;191;;Debreceni KK
Auston BARNES;PF;Légiós;1991;202;102;Szolnoki Olajbányász
Jordan BARNETT;F;Légiós;1995;201;98;Alba Fehérvár, Sopron KC, ZTE KK
Troy BARNIES;F;Légiós;1989;201;97;Atomerőmű SE, Szolnoki Olajbányász
Josip BARNJAK;GF;Légiós;1998;193;90;Oroszlány
Kyle BARONE;C;Légiós;1989;208;113;Alba Fehérvár
BAROSS Kristóf;C;Hazai;1988;210;113;NTE Hegyvidék
Filip BAROVIĆ;C;Légiós;1990;206;114;Kecskemét, Sopron KC
Ousmane BARRO;C;Légiós;1984;208;107;Szolnoki Olajbányász
BÁRSONY Balázs;SF;Hazai;1979;195;;Csepel
BARTHA Bálint;SF;Hazai;1979;198;89;Matáv Pécs
BARTIK Zalán;G;Hazai;2008;186;69;Körmend
BARTÓK Gyula;PG;Hazai;1964;187;78;Alba Fehérvár, Budapesti Honvéd, Csepel
BARTUCZ Péter;GF;Hazai;1954;186;82;Sopron KC
Lovre BAŠIĆ;PG;Légiós;1995;190;86;Körmend
Jamal BASIT;C;Légiós;1978;206;118;Szolnoki Olajbányász
Reggie BASSETTE;C;Légiós;1977;206;110;ZTE KK
BATA László;PG;Hazai;1972;180;74;Videoton
Eric BATCHELOR;SF;Légiós;1979;200;95;Kecskemét
BÁTHORY János;G;Hazai;1964;182;75;Pécsi VSK
Talor BATTLE;PG;Légiós;1988;183;77;Atomerőmű SE
BAUMANN Dávid;GF;Hazai;1991;197;78;Dombóvár
BAUMANN István;GF;Hazai;1956;190;;Oroszlány
BAUMGARTNER Balázs;SF;Hazai;1974;195;85;Alba Fehérvár, Falco KC Szombathely, Kaposvári KK
BAUSZ Kornél;PG;Hazai;1978;175;72;Soproni MAFC
Edin BAVČIĆ;FC;Légiós;1984;208;110;Sopron KC
BAZSÓ Brúnó;SF;Hazai;1995;195;88;Budapesti Honvéd, Falco KC Szombathely, Jászberény, Nyíregyháza
BEÁK Gábor;GF;Hazai;1982;193;95;Dombóvár, NTE Hegyvidék, TF-Budapest
BEBES István;C;Hazai;1956;205;96;Körmend, Sopron KC
BECK Attila;PG;Hazai;1979;187;73;Kaposvári KK
