Játékos;Szezon;Csapat;G;Min;PTS;FG made;FG att.;FG%;3P made;3P att.;3P%;EFG%;FT made;FT att.;FT%;TS%;ORB;DRB;TRB;AST;TOV;STL;BLK;PF;GmSc;USG%;PTS Prod;ORTG;DRTG
EILINGSFELD János;2024-25;Atomerőmű SE;12;419;178;65;118;0.551;17;48;0.354;0.623;31;35;0.886;0.590;37;54;91;15;17;13;1;21;161;16.8;168;133;110
BENKE Szilárd;2024-25;Atomerőmű SE;12;405;137;48;149;0.322;13;78;0.167;0.366;28;42;0.667;0.359;5;37;42;29;23;15;4;35;62;22.0;135;89;110
Eric LOCKETT;2024-25;Atomerőmű SE;12;390;216;77;145;0.531;24;46;0.522;0.614;38;49;0.776;0.557;18;55;73;46;27;19;4;37;182;23.3;211;127;107
Wendell MITCHELL;2022-23;Körmend;13;373;217;75;161;0.466;35;81;0.432;0.575;32;38;0.842;0.537;4;35;39;51;24;18;1;32;163;26.2;209;118;117
D'Mitrik TRICE;2022-23;ZTE;12;357;185;57;143;0.399;23;70;0.329;0.479;48;57;0.842;0.498;3;20;23;55;17;2;0;23;127;24.4;188;117;128
Quincy FORD;2022-23;Alba Fehérvár;11;355;97;33;79;0.418;19;41;0.463;0.538;12;17;0.706;0.507;17;57;74;16;9;20;16;21;107;12.9;92;116;102
Yasiin JOSEPH;2022-23;Sopron;11;350;212;70;136;0.515;26;61;0.426;0.610;46;55;0.836;0.571;7;39;46;71;25;17;0;20;192;25.7;216;130;117
Raymond COWELS;2022-23;Falco KC;11;349;127;48;115;0.417;22;72;0.306;0.513;9;15;0.600;0.451;13;28;41;19;19;14;0;34;76;19.7;118;104;105
Siyani CHAMBERS;2023-24;Alba Fehérvár;10;338;153;45;112;0.402;28;65;0.431;0.527;35;47;0.745;0.478;3;46;49;78;27;14;0;23;136;21.8;178;119;112
Danilo OSTOJIĆ;2022-23;ZTE;12;336;154;57;103;0.553;3;14;0.214;0.568;37;56;0.661;0.523;23;57;80;20;19;10;3;36;123;20.5;151;119;121
PERL Zoltán;2022-23;Falco KC;11;336;221;79;136;0.581;13;31;0.419;0.629;50;53;0.943;0.604;6;46;52;45;23;9;8;23;188;26.6;206;135;103
KJ JACKSON;2024-25;Sopron;10;329;223;78;171;0.456;19;52;0.365;0.512;48;64;0.750;0.481;6;48;54;46;32;13;1;25;151;32.3;214;110;114
VOJVODA Dávid;2022-23;Alba Fehérvár;11;328;189;63;138;0.457;13;55;0.236;0.504;50;61;0.820;0.501;3;23;26;36;23;5;0;23;120;27.6;180;115;113
Marques TOWNES;2022-23;Kecskemét;10;325;185;75;141;0.532;17;44;0.386;0.592;18;29;0.621;0.497;11;42;53;58;32;20;1;14;156;28.0;185;112;115
LUKÁCS Norbert;2023-24;Szolnok;11;323;131;50;87;0.575;16;41;0.390;0.667;15;24;0.625;0.602;13;36;49;14;11;12;5;25;111;15.5;108;125;115
Jabril DURHAM;2022-23;Szolnok;11;318;151;55;123;0.447;24;65;0.369;0.545;17;22;0.773;0.458;10;21;31;69;32;20;0;24;125;25.0;166;110;107
