Játékos;Szezon;Csapat;G;Min;Min PG;PTS;PTS PG;PTS 100;Close made;Close att.;Close made PG;Close att. PG;Close made 100;Close att. 100;Close %;Mid. made;Mid. att.;Mid. made PG;Mid. att. PG;Mid. made 100;Mid. att. 100;Mid. %;2P made;2P att.;2P made PG;2P att. PG;2P made 100;2P att. 100;2P%;3P made;3P att.;3P made PG;3P att. PG;3P made 100;3P att. 100;3P%;FG made;FG att.;FG made PG;FG att. PG;FG made 100;FG att. 100;FG%;EFG%;FT made;FT att.;FT made PG;FT att. PG;FT made 100;FT att. 100;FT%;TS%;Close att. rate;Mid. att. rate;3P att. rate;FT rate
Desi WASHINGTON;2022-23;Szedeák;35;1283;36.7;649;18.5;27.9;95;166;2.7;4.7;4.1;7.1;0.572;38;93;1.1;2.7;1.6;4.0;0.409;133;259;3.8;7.4;5.7;11.1;0.514;83;199;2.4;5.7;3.6;8.6;0.417;216;458;6.2;13.1;9.3;19.7;0.472;0.562;134;149;3.8;4.3;5.8;6.4;0.899;0.618;36.2;20.3;43.4;0.33
EILINGSFELD János;2024-25;Atomerőmű SE;38;1260;33.2;576;15.2;24.8;131;187;3.4;4.9;5.6;8.1;0.701;16;40;0.4;1.1;0.7;1.7;0.400;147;227;3.9;6.0;6.3;9.8;0.648;56;145;1.5;3.8;2.4;6.2;0.386;203;372;5.3;9.8;8.7;16.0;0.546;0.621;114;132;3.0;3.5;4.9;5.7;0.864;0.668;50.3;10.8;39.0;0.36
Đorđe DRENOVAC;2023-24;DEAC;35;1226;35.0;594;17.0;27.4;149;279;4.3;8.0;6.9;12.9;0.534;33;80;0.9;2.3;1.5;3.7;0.413;182;359;5.2;10.3;8.4;16.6;0.507;36;115;1.0;3.3;1.7;5.3;0.313;218;474;6.2;13.5;10.1;21.9;0.460;0.498;122;172;3.5;4.9;5.6;7.9;0.709;0.539;58.9;16.9;24.3;0.36
Marques TOWNES;2022-23;Kecskemét;36;1207;33.5;585;16.3;26.8;145;232;4.0;6.4;6.6;10.6;0.625;33;85;0.9;2.4;1.5;3.9;0.388;178;317;4.9;8.8;8.2;14.5;0.562;52;156;1.4;4.3;2.4;7.2;0.333;230;473;6.4;13.1;10.5;21.7;0.486;0.541;73;104;2.0;2.9;3.3;4.8;0.702;0.563;49.0;18.0;33.0;0.22
Đorđe DŽELETOVIĆ;2024-25;PVSK;35;1203;34.4;616;17.6;27.5;148;261;4.2;7.5;6.6;11.7;0.567;4;19;0.1;0.5;0.2;0.9;0.211;152;280;4.3;8.0;6.8;12.5;0.543;54;160;1.5;4.6;2.4;7.2;0.338;206;440;5.9;12.6;9.2;19.7;0.468;0.530;150;193;4.3;5.5;6.7;8.6;0.777;0.585;59.3;4.3;36.4;0.44
Siyani CHAMBERS;2023-24;Alba Fehérvár;36;1190;33.1;581;16.1;25.7;79;161;2.2;4.5;3.5;7.1;0.491;15;30;0.4;0.8;0.7;1.3;0.500;94;191;2.6;5.3;4.2;8.5;0.492;82;205;2.3;5.7;3.6;9.1;0.400;176;396;4.9;11.0;7.8;17.5;0.444;0.548;147;183;4.1;5.1;6.5;8.1;0.803;0.607;40.7;7.6;51.8;0.46
Noah LOCKE;2023-24;Szedeák;33;1188;36.0;779;23.6;34.1;115;211;3.5;6.4;5.0;9.3;0.545;53;157;1.6;4.8;2.3;6.9;0.338;168;368;5.1;11.2;7.4;16.1;0.457;104;267;3.2;8.1;4.6;11.7;0.390;272;635;8.2;19.2;11.9;27.8;0.428;0.510;131;158;4.0;4.8;5.7;6.9;0.829;0.552;33.2;24.7;42.0;0.25
Siyani CHAMBERS;2022-23;Körmend;36;1186;32.9;537;14.9;24.5;112;220;3.1;6.1;5.1;10.0;0.509;9;43;0.3;1.2;0.4;2.0;0.209;121;263;3.4;7.3;5.5;12.0;0.460;54;184;1.5;5.1;2.5;8.4;0.293;175;447;4.9;12.4;8.0;20.4;0.391;0.452;133;184;3.7;5.1;6.1;8.4;0.723;0.507;49.2;9.6;41.2;0.41
Quincy FORD;2022-23;Alba Fehérvár;37;1179;31.9;419;11.3;19.5;90;149;2.4;4.0;4.2;6.9;0.604;11;44;0.3;1.2;0.5;2.0;0.250;101;193;2.7;5.2;4.7;9.0;0.523;48;114;1.3;3.1;2.2;5.3;0.421;149;307;4.0;8.3;6.9;14.3;0.485;0.564;73;91;2.0;2.5;3.4;4.2;0.802;0.602;48.5;14.3;37.1;0.30
Darius PERRY;2022-23;NYBS;35;1178;33.7;762;21.8;34.3;148;274;4.2;7.8;6.7;12.3;0.540;30;77;0.9;2.2;1.4;3.5;0.390;178;351;5.1;10.0;8.0;15.8;0.507;73;227;2.1;6.5;3.3;10.2;0.322;251;578;7.2;16.5;11.3;26.0;0.434;0.497;187;239;5.3;6.8;8.4;10.8;0.782;0.556;47.4;13.3;39.3;0.41
VOJVODA Dávid;2024-25;Alba Fehérvár;35;1177;33.6;670;19.1;30.5;150;222;4.3;6.3;6.8;10.1;0.676;14;34;0.4;1.0;0.6;1.6;0.412;164;256;4.7;7.3;7.5;11.7;0.641;73;213;2.1;6.1;3.3;9.7;0.343;237;469;6.8;13.4;10.8;21.4;0.505;0.583;123;145;3.5;4.1;5.6;6.6;0.848;0.627;47.3;7.2;45.4;0.31
Deon EDWIN;2022-23;Atomerőmű SE;35;1174;33.5;611;17.5;28.5;157;264;4.5;7.5;7.3;12.3;0.595;25;54;0.7;1.5;1.2;2.5;0.463;182;318;5.2;9.1;8.5;14.8;0.572;35;108;1.0;3.1;1.6;5.0;0.324;217;426;6.2;12.2;10.1;19.8;0.509;0.550;142;189;4.1;5.4;6.6;8.8;0.751;0.598;62.0;12.7;25.4;0.44
