Dátum;Hazai csapat;Vendég csapat;Ered.;home_score;away_score;Kim.;Szakasz;Hazai ÉLŐ pont;Hazai ÉLŐ vált.;Vend. ÉLŐ pont;Vend. ÉLŐ vált.
2022-09-30;Atomerőmű SE;Arconic-Alba Fehérvár;93-84;93;84;H;alapszakasz;1460;12.5;1566;-12.5
2022-09-30;Duna Aszfalt-DTKH Kecskemét;HÜBNER Nyíregyháza BS;79-55;79;55;H;alapszakasz;1522;7.7;1424;-7.7
2022-10-01;Budapesti Honvéd SE;Falco-Vulcano Energia KC Szombathely;61-78;61;78;V;alapszakasz;1300;-7.4;1704;7.4
2022-10-01;Kometa Kaposvári KK;Szolnoki Olajbányász;88-94;88;94;V;alapszakasz;1500;-14.1;1550;14.1
2022-10-01;MVM-OSE Lions;Egis Körmend;104-98;104;98;H;alapszakasz;1529;6.9;1556;-6.9
2022-10-01;Sopron KC;DEAC;90-62;90;62;H;alapszakasz;1515;11.4;1469;-11.4
2022-10-05;Zalakerámia ZTE KK;Naturtex-SZTE-Szedeák;89-84;89;84;H;alapszakasz;1468;8.0;1546;-8.0
2022-10-08;Arconic-Alba Fehérvár;MVM-OSE Lions;106-39;106;39;H;alapszakasz;1554;22.4;1536;-22.4
2022-10-08;Atomerőmű SE;Budapesti Honvéd SE;75-71;75;71;H;alapszakasz;1472;1.4;1293;-1.4
2022-10-08;DEAC;HÜBNER Nyíregyháza BS;89-59;89;59;H;alapszakasz;1457;13.8;1416;-13.8
2022-10-08;Falco-Vulcano Energia KC Szombathely;Kometa Kaposvári KK;79-84;79;84;V;alapszakasz;1711;-15.2;1486;15.2
2022-10-08;Egis Körmend;Zalakerámia ZTE KK;93-92;93;92;H;alapszakasz;1549;1.4;1476;-1.4
2022-10-08;Szolnoki Olajbányász;Sopron KC;90-57;90;57;H;alapszakasz;1565;11.5;1527;-11.5
2022-10-09;Naturtex-SZTE-Szedeák;Duna Aszfalt-DTKH Kecskemét;69-77;69;77;V;alapszakasz;1538;-17.6;1530;17.6
2022-10-11;Kometa Kaposvári KK;Atomerőmű SE;87-85;87;85;H;alapszakasz;1501;3.0;1473;-3.0
2022-10-12;Duna Aszfalt-DTKH Kecskemét;DEAC;87-69;87;69;H;alapszakasz;1547;7.3;1471;-7.3
2022-10-12;HÜBNER Nyíregyháza BS;Szolnoki Olajbányász;81-87;81;87;V;alapszakasz;1402;-10.1;1576;10.1
2022-10-12;MVM-OSE Lions;Budapesti Honvéd SE;62-68;62;68;V;alapszakasz;1513;-16.8;1291;16.8
2022-10-12;Zalakerámia ZTE KK;Arconic-Alba Fehérvár;70-76;70;76;V;alapszakasz;1474;-12.7;1576;12.7
2022-10-15;Arconic-Alba Fehérvár;Naturtex-SZTE-Szedeák;102-95;102;95;H;alapszakasz;1589;3.4;1521;-3.4
2022-10-15;Budapesti Honvéd SE;Zalakerámia ZTE KK;76-83;76;83;V;alapszakasz;1308;-12.2;1461;12.2
2022-10-15;Falco-Vulcano Energia KC Szombathely;HÜBNER Nyíregyháza BS;108-83;108;83;H;alapszakasz;1696;1.4;1392;-1.4
2022-10-15;MVM-OSE Lions;Kometa Kaposvári KK;101-80;101;80;H;alapszakasz;1496;13.6;1504;-13.6
2022-10-16;Atomerőmű SE;Sopron KC;75-80;75;80;V;alapszakasz;1470;-13.1;1515;13.1
2022-10-16;Egis Körmend;Duna Aszfalt-DTKH Kecskemét;74-75;74;75;V;alapszakasz;1550;-8.3;1555;8.3
2022-10-19;Sopron KC;Falco-Vulcano Energia KC Szombathely;63-81;63;81;V;alapszakasz;1528;-20.8;1697;20.8
2022-10-20;Naturtex-SZTE-Szedeák;Budapesti Honvéd SE;77-67;77;67;H;alapszakasz;1517;2.0;1296;-2.0
2022-10-21;Duna Aszfalt-DTKH Kecskemét;Szolnoki Olajbányász;53-91;53;91;V;alapszakasz;1563;-49.0;1586;49.0
2022-10-21;HÜBNER Nyíregyháza BS;Atomerőmű SE;69-71;69;71;V;alapszakasz;1391;-8.4;1457;8.4
2022-10-22;DEAC;Falco-Vulcano Energia KC Szombathely;69-71;69;71;V;alapszakasz;1464;-4.5;1718;4.5
2022-10-22;Egis Körmend;Arconic-Alba Fehérvár;86-83;86;83;H;alapszakasz;1542;4.3;1592;-4.3
2022-10-22;Sopron KC;MVM-OSE Lions;76-64;76;64;H;alapszakasz;1507;8.7;1510;-8.7
2022-10-22;Zalakerámia ZTE KK;Kometa Kaposvári KK;81-77;81;77;H;alapszakasz;1474;5.1;1491;-5.1
2022-10-25;Szolnoki Olajbányász;DEAC;93-75;93;75;H;alapszakasz;1635;2.9;1459;-2.9
2022-10-29;Arconic-Alba Fehérvár;Duna Aszfalt-DTKH Kecskemét;101-73;101;73;H;alapszakasz;1588;8.0;1514;-8.0
2022-10-29;Atomerőmű SE;DEAC;62-69;62;69;V;alapszakasz;1466;-16.8;1457;16.8
2022-10-29;Budapesti Honvéd SE;Egis Körmend;66-74;66;74;V;alapszakasz;1294;-9.3;1546;9.3
2022-10-29;MVM-OSE Lions;HÜBNER Nyíregyháza BS;81-66;81;66;H;alapszakasz;1501;4.8;1382;-4.8
