Csapat;Szezon;G;PTS PG;Opp. PTS PG;Pace;ORtg;DRtg;Net RTG;Close made PG;Close att. PG;Close %;Mid. made PG;Mid. att. PG;Mid. %;2P made PG;2P att. PG;2P%;3P made PG;3P att. PG;3P%;FG made PG;FG att. PG;FG%;EFG%;FT made PG;FT att. PG;FT%;TS%;Close att. rate;Mid. att. rate;3P att. rate;FT att. rate;AST PG;AST%;TOV PG;TOV%;DRB PG;ORB PG;TRB PG;DRB%;ORB%;TRB%;STL PG;STL%;BLK PG;BLK%;PF PG;PFA PG
Kaposvár ellenfelek;2022-23;36;85.4;81.4;73.5;115.1;109.6;5.5;19.4;33.6;0.577;3.0;7.0;0.433;22.4;40.6;0.552;9.0;25.3;0.355;31.4;65.8;0.477;0.545;13.7;18.6;0.738;0.576;51.0;10.6;38.4;0.282;17.8;56.8;11.8;13.7;24.8;10.3;35.1;72.8;28.8;50.3;7.4;10.0;2.3;6.0;20.9;19.7
Alba Fehérvár ellenfelek;2022-23;37;79.6;88.8;73.1;107.8;120.3;-12.5;17.9;28.1;0.638;3.1;8.2;0.374;20.9;36.2;0.578;8.9;26.9;0.330;29.8;63.1;0.473;0.543;11.1;15.0;0.739;0.570;44.5;12.9;42.6;0.238;17.0;57.1;14.9;17.6;23.1;9.6;32.7;70.4;28.1;48.9;5.5;7.5;2.3;5.6;19.9;17.9
Oroszlány ellenfelek;2022-23;36;81.1;79.0;72.4;110.8;107.9;2.9;16.9;28.2;0.601;2.8;7.7;0.367;19.8;35.9;0.550;7.9;23.4;0.340;27.7;59.3;0.467;0.534;17.8;24.0;0.740;0.579;47.5;13.0;39.5;0.404;14.7;53.2;14.2;16.9;25.7;10.2;35.9;68.5;30.5;50.6;7.4;10.2;2.4;6.5;20.0;23.3
Falco KC ellenfelek;2022-23;37;75.2;87.2;72.8;103.0;119.4;-16.4;17.0;33.0;0.516;2.3;7.1;0.327;19.4;40.1;0.483;7.1;22.1;0.321;26.4;62.2;0.425;0.482;15.2;20.5;0.744;0.527;53.0;11.4;35.5;0.329;13.6;51.6;12.4;14.8;22.5;9.7;32.2;67.0;25.8;45.3;6.6;9.1;2.4;6.2;20.5;20.7
ZTE ellenfelek;2022-23;38;84.5;85.0;73.8;113.1;113.7;-0.6;20.5;33.0;0.622;3.0;7.6;0.391;23.5;40.6;0.579;8.4;24.3;0.347;31.9;64.9;0.492;0.557;12.3;16.7;0.734;0.584;50.9;11.7;37.4;0.258;16.1;50.3;12.4;14.6;25.7;8.8;34.6;72.8;25.6;49.5;6.6;8.8;2.3;6.0;22.4;19.0
NYBS ellenfelek;2022-23;36;88.0;74.7;75.4;116.0;98.5;17.5;20.3;32.9;0.619;2.6;6.8;0.378;22.9;39.7;0.577;8.9;24.3;0.364;31.8;64.0;0.496;0.566;15.6;21.0;0.742;0.599;51.3;10.7;38.0;0.328;18.0;56.6;13.8;15.8;27.9;10.0;37.9;73.4;29.6;52.8;8.6;11.3;2.8;7.1;19.3;20.7
DEAC ellenfelek;2022-23;35;79.2;77.6;71.0;110.3;108.1;2.2;17.7;30.8;0.573;2.6;6.5;0.398;20.2;37.3;0.543;8.3;24.7;0.338;28.6;62.0;0.461;0.528;13.7;18.5;0.741;0.563;49.7;10.4;39.9;0.298;17.0;59.6;12.4;15.0;24.9;9.8;34.7;72.6;28.1;50.2;6.7;9.3;2.0;4.8;19.1;18.9
Szolnok ellenfelek;2022-23;37;75.4;83.7;70.9;105.9;117.6;-11.7;19.2;33.0;0.583;1.8;6.1;0.291;21.0;39.1;0.537;6.5;20.8;0.313;27.5;59.9;0.459;0.514;13.8;18.2;0.759;0.553;55.0;10.2;34.7;0.304;15.1;54.9;13.6;16.7;24.3;9.1;33.4;68.9;27.3;48.6;5.9;8.4;2.2;6.3;20.9;20.6
Körmend ellenfelek;2022-23;39;85.0;82.9;73.9;114.2;111.4;2.8;20.0;33.0;0.607;2.4;6.9;0.343;22.4;39.8;0.561;8.0;24.1;0.332;30.4;64.0;0.475;0.537;16.3;22.0;0.739;0.575;51.5;10.7;37.7;0.344;17.0;55.9;12.9;14.9;25.5;11.1;36.6;73.4;31.1;52.0;6.7;9.0;1.9;4.8;21.6;21.5
Bp. Honvéd ellenfelek;2022-23;36;80.5;73.1;72.9;110.5;100.3;10.2;19.4;32.4;0.598;2.1;7.0;0.302;21.5;39.4;0.545;7.1;21.8;0.327;28.6;61.3;0.467;0.526;16.1;21.4;0.752;0.568;52.9;11.4;35.6;0.350;16.4;57.2;13.6;16.0;27.3;10.6;37.8;72.5;30.6;52.5;6.7;9.2;2.8;7.9;20.5;21.1
Szedeák ellenfelek;2022-23;36;81.9;80.5;72.6;111.7;109.8;1.9;18.9;29.4;0.642;3.0;9.1;0.333;21.9;38.4;0.569;8.1;24.8;0.327;30.0;63.2;0.474;0.538;13.9;18.9;0.733;0.571;46.5;14.4;39.2;0.300;15.9;53.2;12.6;15.0;23.8;9.8;33.6;66.0;28.1;47.4;7.5;10.3;1.9;4.6;20.4;19.4
Kecskemét ellenfelek;2022-23;36;80.0;77.9;72.3;110.2;107.3;2.9;17.7;28.4;0.625;3.4;8.7;0.395;21.2;37.1;0.571;8.8;27.1;0.322;29.9;64.2;0.466;0.534;11.4;15.4;0.739;0.562;44.2;13.6;42.3;0.240;17.7;59.2;12.2;14.6;28.2;9.9;38.1;78.3;27.9;53.3;6.7;9.3;1.7;4.7;18.8;17.9
Atomerőmű SE ellenfelek;2022-23;36;80.1;80.6;73.2;109.1;109.8;-0.7;18.2;31.4;0.580;3.1;7.2;0.423;21.3;38.6;0.551;8.9;27.0;0.331;30.2;65.6;0.460;0.528;10.8;14.5;0.741;0.555;47.8;11.0;41.2;0.221;17.1;56.7;12.4;14.6;24.0;10.0;34.0;69.0;27.2;47.6;7.4;10.1;2.3;5.5;20.1;17.9
Sopron ellenfelek;2022-23;37;79.7;82.5;71.6;110.3;114.1;-3.9;17.6;33.5;0.525;2.8;6.4;0.441;20.4;39.9;0.512;8.8;27.6;0.318;29.2;67.5;0.432;0.497;12.6;16.7;0.757;0.532;49.6;9.5;40.9;0.248;17.1;58.7;10.9;12.7;25.0;12.5;37.5;73.6;31.5;50.9;5.9;8.2;1.4;3.7;18.6;17.1
Kaposvár ellenfelek;2023-24;36;87.6;83.5;71.7;120.9;115.2;5.6;21.1;33.1;0.638;3.4;7.7;0.437;24.5;40.8;0.600;8.0;22.5;0.356;32.5;63.3;0.513;0.577;14.6;20.2;0.725;0.605;52.3;12.2;35.5;0.319;15.6;48.2;11.0;13.2;26.0;9.8;35.8;70.3;30.0;51.4;5.6;7.7;2.2;5.6;21.2;21.9
Alba Fehérvár ellenfelek;2023-24;36;84.6;94.7;76.0;110.5;123.7;-13.2;19.6;34.3;0.572;2.6;7.2;0.357;22.2;41.5;0.535;8.5;25.0;0.341;30.7;66.5;0.462;0.526;14.6;20.7;0.706;0.558;51.6;10.8;37.6;0.311;16.5;53.7;12.8;14.4;24.8;10.8;35.5;71.5;28.5;49.1;5.9;7.8;1.6;4.3;21.5;20.0
Sopron ellenfelek;2023-24;33;84.7;78.9;73.6;114.6;106.8;7.8;19.9;34.0;0.587;1.9;5.1;0.373;21.8;39.1;0.559;8.0;23.4;0.341;29.8;62.5;0.477;0.541;17.1;23.2;0.736;0.581;54.4;8.2;37.4;0.371;17.8;59.9;12.5;14.6;25.6;10.0;35.6;70.2;28.5;49.8;7.4;10.0;2.2;5.8;20.3;21.0
Falco KC ellenfelek;2023-24;36;73.5;94.1;74.6;98.3;125.8;-27.5;16.7;32.4;0.515;2.2;7.4;0.300;18.9;39.9;0.475;7.0;23.2;0.302;25.9;63.1;0.411;0.467;14.7;20.6;0.711;0.508;51.5;11.8;36.8;0.327;13.7;52.8;13.3;15.5;23.0;10.1;33.1;68.5;25.5;45.2;5.9;7.8;1.8;4.5;23.1;20.8
NKA Pécs ellenfelek;2023-24;34;82.4;81.9;75.7;108.9;108.2;0.7;18.4;31.9;0.575;1.9;6.0;0.324;20.3;37.9;0.535;8.7;26.7;0.327;29.0;64.6;0.449;0.517;15.6;21.9;0.713;0.553;49.4;9.3;41.3;0.339;16.9;58.2;14.0;15.8;28.1;11.6;39.6;69.8;30.4;50.6;6.8;9.0;2.4;6.0;21.6;21.1
Oroszlány ellenfelek;2023-24;36;86.3;87.2;76.4;112.5;113.7;-1.2;18.7;31.5;0.593;3.6;8.6;0.412;22.2;40.1;0.554;8.7;26.0;0.334;30.9;66.1;0.468;0.533;15.7;21.2;0.741;0.570;47.6;13.1;39.3;0.321;16.1;51.9;13.1;14.8;24.9;11.1;35.9;72.7;29.6;50.2;7.4;9.6;2.1;4.9;22.5;20.2
