tm_name,canonical_name,note
Ferencvárosi TC,Ferencváros,
Debreceni VSC,Debrecen,
Fehérvár FC,Fehérvár,TM 22/23-as névvariáns
Videoton FC Fehérvár,Fehérvár,TM 23/24-24/25-os névvariáns
Puskás Akadémia FC,Puskás FC,
Paksi FC,Paksi FC,azonos nev mindket oldalon
Kecskeméti TE,Kecskeméti TE,NB2-ben 2025-26-ra
Kisvárda FC,Várda SE,verein/30613 azonos klub mindkét néven
Mezőkövesd Zsóry FC,Mezőkövesd-Zsóry,NB2-ben 2025-26-ra
Zalaegerszegi TE FC,Zalaegerszegi TE,
Újpest FC,Újpest,
MTK Budapest,MTK,
Diósgyőri VTK,Diósgyőr,
ETO FC Győr,Győri ETO,
ETO FC,Győri ETO,TM 25/26-os rovidebb nevvariansa
Nyíregyháza Spartacus,Nyíregyháza Spartacus,
Vasas FC,Vasas,NB2-ben 2025-26-ra
Budapest Honvéd FC,Honvéd,NB2-ben 2025-26-ra
Kispest–Honvéd FC,Honvéd,TM 26/27-es nevvariansa (feljutas utan)
Kazincbarcikai SC,Kazincbarcika,ujonc NB1-ben 2025-26-ban
Kecskemét,Kecskeméti TE,tabelle-oldal rovid neve
Puskás AFC,Puskás FC,tabelle-oldal rovid neve
Kisvárda,Várda SE,tabelle-oldal rovid neve
Mezőkövesd,Mezőkövesd-Zsóry,tabelle-oldal rovid neve
Zalaegerszeg,Zalaegerszegi TE,tabelle-oldal rovid neve
Debrecen,Debrecen,azonos nev mindket oldalon
Ferencváros,Ferencváros,azonos nev mindket oldalon
Fehérvár,Fehérvár,azonos nev mindket oldalon
Honvéd,Honvéd,azonos nev mindket oldalon
Diósgyőr,Diósgyőr,azonos nev mindket oldalon
Pécsi MFC,Pécsi MFC,NB2-torteneti azonos nev mindket oldalon
Szeged-Csanád - GA,Szeged 2011,NB2 TM keretertek-oldal neve
Szeged,Szeged 2011,NB2 tabella-oldal rovid neve
Gyirmót FC Győr,Gyirmót,NB2 TM keretertek-oldal neve (22/23-23/24)
Gyirmót FC,Gyirmót,NB2 tabella-oldal rovid neve
Budafoki MTE,Budafoki MTE,NB2-torteneti azonos nev mindket oldalon
Aqvital FC Csákvár,Csákvári TK,NB2 TM keretertek-oldal neve
Csákvár,Csákvári TK,NB2 tabella-oldal rovid neve
BFC Siófok,Siófok,NB2 TM keretertek-oldal neve
Szombathelyi Haladás,Haladás,NB2 TM keretertek-oldal neve
Haladás,Haladás,NB2-torteneti azonos nev mindket oldalon
Nyíregyháza,Nyíregyháza Spartacus,NB2 tabella-oldal rovid neve
Tiszakécskei LC,Duna Aszfalt Tiszakécskei,NB2 TM keretertek-oldal neve
Tiszakécske,Duna Aszfalt Tiszakécskei,NB2 tabella-oldal rovid neve
Kozármisleny FC,Kozármisleny,NB2 TM keretertek-oldal neve
Kozármisleny,Kozármisleny,NB2 tabella-oldal rovid neve (whitespace trim utan)
Dorogi FC,Dorog,NB2 TM keretertek-oldal neve
Dorog,Dorog,NB2-torteneti azonos nev mindket oldalon
Békéscsaba 1912 Elöre SE,Békéscsaba,NB2 TM keretertek-oldal neve
Békéscsaba,Békéscsaba,NB2-torteneti azonos nev mindket oldalon
Mosonmagyaróvári TE 1904,Mosonmagyaróvár,NB2 TM keretertek-oldal neve
Mosonmagyaróvár,Mosonmagyaróvár,NB2-torteneti azonos nev mindket oldalon
Budapesti VSC - Zugló,BVSC,NB2 TM keretertek-oldal neve
Budapesti VSC,BVSC,NB2 tabella-oldal rovid neve
Tatabányai SC,Tatabánya,NB2 TM keretertek-oldal neve
Tatabánya,Tatabánya,NB2-torteneti azonos nev mindket oldalon
Videoton Fehérvár,Fehérvár,NB2 25/26-os TM nevvariansa
Karcagi SE,Karcag SE,NB2 TM keretertek-oldal neve
Karcagi SC,Karcag SE,NB2 TM keretertek-oldal neve (2025-ös scrape-javitas utan)
FC Nagykanizsa,Nagykanizsa,NB2 26/27-es ujonc (NB3-bol feljutott)
Soroksár,Soroksár SC,NB2 tabella-oldal rovid neve
Soroksár SC,Soroksár SC,NB2-torteneti azonos nev mindket oldalon
Szentlőrinc SE,Szentlőrinc SE,NB2-torteneti azonos nev mindket oldalon
FC Ajka,Ajka,NB2 TM keretertek-oldal neve
